customer_id,order_freq_decile,finals_orders,days_to_second,days_to_third,days_2nd_to_3rd,lifespan_days,recency_days,recency_status,first_order_date,last_order_date
7756044599551,D1,2,22.0,,,22,1545,Likely churned,2022-01-13 16:00:00+00:00,2022-02-04 16:00:00+00:00
7756032868607,D4,1,,,,0,1428,Likely churned,2022-06-01 16:00:00+00:00,2022-06-01 16:00:00+00:00
8712766128383,D2,1,,,,0,96,At-risk,2026-01-23 16:00:00+00:00,2026-01-23 16:00:00+00:00
7964005826815,D1,2,62.0,,,62,316,Likely churned,2025-04-16 16:00:00+00:00,2025-06-17 16:00:00+00:00
7958758916351,D3,1,,,,0,381,Likely churned,2025-04-13 16:00:00+00:00,2025-04-13 16:00:00+00:00
7958759211263,D3,1,,,,0,381,Likely churned,2025-04-13 16:00:00+00:00,2025-04-13 16:00:00+00:00
7973381570815,D3,1,,,,0,372,Likely churned,2025-04-22 16:00:00+00:00,2025-04-22 16:00:00+00:00
7756015862015,D4,1,,,,0,1336,Likely churned,2022-09-01 16:00:00+00:00,2022-09-01 16:00:00+00:00
7756016681215,D4,1,,,,0,1339,Likely churned,2022-08-29 16:00:00+00:00,2022-08-29 16:00:00+00:00
7756432310527,D4,1,,,,0,700,Likely churned,2024-05-29 16:00:00+00:00,2024-05-29 16:00:00+00:00
7756379291903,D4,1,,,,0,966,Likely churned,2023-09-06 16:00:00+00:00,2023-09-06 16:00:00+00:00
7756379685119,D4,1,,,,0,969,Likely churned,2023-09-03 16:00:00+00:00,2023-09-03 16:00:00+00:00
7756380012799,D4,1,,,,0,966,Likely churned,2023-09-06 16:00:00+00:00,2023-09-06 16:00:00+00:00
7756382699775,D4,1,,,,0,948,Likely churned,2023-09-24 16:00:00+00:00,2023-09-24 16:00:00+00:00
7756385878271,D4,1,,,,0,923,Likely churned,2023-10-19 16:00:00+00:00,2023-10-19 16:00:00+00:00
7756386009343,D4,1,,,,0,921,Likely churned,2023-10-21 16:00:00+00:00,2023-10-21 16:00:00+00:00
8761459179775,D2,1,,,,0,82,Active,2026-02-06 16:00:00+00:00,2026-02-06 16:00:00+00:00
7756376965375,D4,1,,,,0,985,Likely churned,2023-08-18 16:00:00+00:00,2023-08-18 16:00:00+00:00
7756386435327,D4,1,,,,0,915,Likely churned,2023-10-27 16:00:00+00:00,2023-10-27 16:00:00+00:00
7755940462847,D5,1,,,,0,1344,Likely churned,2022-08-24 16:00:00+00:00,2022-08-24 16:00:00+00:00
7755966054655,D5,1,,,,0,1322,Likely churned,2022-09-15 16:00:00+00:00,2022-09-15 16:00:00+00:00
7756016255231,D4,1,,,,0,1337,Likely churned,2022-08-31 16:00:00+00:00,2022-08-31 16:00:00+00:00
7756016550143,D4,1,,,,0,1338,Likely churned,2022-08-30 16:00:00+00:00,2022-08-30 16:00:00+00:00
7756018155775,D4,1,,,,0,1353,Likely churned,2022-08-15 16:00:00+00:00,2022-08-15 16:00:00+00:00
7756019564799,D4,1,,,,0,1366,Likely churned,2022-08-02 16:00:00+00:00,2022-08-02 16:00:00+00:00
6336697958655,D5,1,,,,0,1556,Likely churned,2022-01-24 16:00:00+00:00,2022-01-24 16:00:00+00:00
7756375490815,D4,1,,,,0,966,Likely churned,2023-09-06 16:00:00+00:00,2023-09-06 16:00:00+00:00
7756038570239,D4,1,,,,0,1491,Likely churned,2022-03-30 16:00:00+00:00,2022-03-30 16:00:00+00:00
7756043223295,D4,1,,,,0,1533,Likely churned,2022-02-16 16:00:00+00:00,2022-02-16 16:00:00+00:00
7122183651583,D5,1,,,,0,779,Likely churned,2024-03-11 16:00:00+00:00,2024-03-11 16:00:00+00:00
7914981261567,D3,1,,,,0,405,Likely churned,2025-03-20 16:00:00+00:00,2025-03-20 16:00:00+00:00
8101182767359,D1,2,23.0,,,23,308,Likely churned,2025-06-02 16:00:00+00:00,2025-06-25 16:00:00+00:00
8055524688127,D3,1,,,,0,348,Likely churned,2025-05-16 16:00:00+00:00,2025-05-16 16:00:00+00:00
8097250345215,D3,1,,,,0,332,Likely churned,2025-06-01 16:00:00+00:00,2025-06-01 16:00:00+00:00
7755949506815,D2,2,0.0,,,0,1514,Likely churned,2022-03-07 16:00:00+00:00,2022-03-07 16:00:00+00:00
7829344321791,D3,1,,,,0,1431,Likely churned,2022-05-29 16:00:00+00:00,2022-05-29 16:00:00+00:00
6423593255167,D5,1,,,,0,1472,Likely churned,2022-04-18 16:00:00+00:00,2022-04-18 16:00:00+00:00
6329848496383,D2,2,11.0,,,11,1567,Likely churned,2022-01-02 16:00:00+00:00,2022-01-13 16:00:00+00:00
7155123814655,D5,1,,,,0,762,Likely churned,2024-03-28 16:00:00+00:00,2024-03-28 16:00:00+00:00
8369912414463,D2,1,,,,0,205,Likely churned,2025-10-06 16:00:00+00:00,2025-10-06 16:00:00+00:00
8476172157183,D2,1,,,,0,186,Likely churned,2025-10-25 16:00:00+00:00,2025-10-25 16:00:00+00:00
8595943260415,D2,1,,,,0,144,At-risk,2025-12-06 16:00:00+00:00,2025-12-06 16:00:00+00:00
