customer_id,p1_revenue,p2_revenue,p2_tier,revenue_change
6327402201343,6512.493939393939,113.35,T3,-6399.143939393939
7755988369663,3964.569696969697,73.81818181818181,T4,-3890.751515151515
6329629475071,3644.6699999999996,215.28,T2,-3429.3899999999994
6327621714175,3586.666666666667,271.5757575757576,T2,-3315.0909090909095
6329692160255,3264.3500000000004,169.66,T3,-3094.6900000000005
6532463755519,2840.145454545455,273.69393939393944,T2,-2566.451515151515
7755986338047,2390.866666666667,56.915151515151514,T5,-2333.951515151515
6327630495999,2595.13,287.52,T2,-2307.61
6336658145535,2331.26,130.5,T3,-2200.76
6532515987711,2375.0575757575757,342.71727272727276,T2,-2032.340303030303
6334065803519,2250.69,290.25,T2,-1960.44
6327526457599,1960.8,233.61,T2,-1727.19
6327699308799,1678.1357575757577,319.94545454545454,T2,-1358.190303030303
7756020973823,1401.1878787878788,96.87272727272727,T4,-1304.3151515151517
6336692650239,1403.36,111.86,T3,-1291.5
6327718478079,1402.8,113.71,T3,-1289.09
6329611616511,1354.03,104.4,T4,-1249.6299999999999
7756048728319,1357.1575757575758,136.38181818181818,T3,-1220.7757575757578
6327653597439,1447.31,237.68,T2,-1209.6299999999999
6532458316031,1282.5636363636363,122.31515151515151,T3,-1160.2484848484848
7756026740991,1278.739393939394,207.13333333333335,T2,-1071.6060606060605
6532456415487,1225.6454545454544,195.66060606060606,T2,-1029.9848484848483
6327546151167,1180.720606060606,209.64999999999998,T2,-971.0706060606061
7755990335743,1149.1969696969697,263.5818181818182,T2,-885.6151515151515
6336727023871,978.9,125.16,T3,-853.74
6329696452863,910.2727272727273,97.82,T4,-812.4527272727273
7756038340863,815.1515151515151,65.34545454545454,T5,-749.8060606060606
7756034539775,913.0454545454545,189.03454545454545,T3,-724.0109090909091
7756026577151,832.0,109.57,T4,-722.4300000000001
7755978309887,910.6696969696969,215.08181818181822,T2,-695.5878787878787
7756009931007,796.3606060606061,111.7090909090909,T3,-684.6515151515151
6329874153727,725.1700000000001,74.61,T4,-650.5600000000001
6327632331007,859.76,213.54,T2,-646.22
6327637803263,738.71,94.4,T4,-644.3100000000001
6327503421695,975.55,336.69000000000005,T2,-638.8599999999999
6327607918847,740.0,107.64,T4,-632.36
7756025233663,814.0484848484848,187.54,T3,-626.5084848484848
6327529341183,765.77,288.59000000000003,T2,-477.17999999999995
6532515627263,759.069696969697,304.8078787878788,T2,-454.2618181818182
